NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
METHYL BUTYL ETHER,C5H12O,628-28-4,512.78,3371,329,0.311
"1,1,2,2-TETRACHLOROETHANE",C2H2Cl4,79-34-5,650,5127.045,314,0.318
TRICHLOROACETIC ACID ETHYL ESTER,C4H5Cl3O2,515-84-4,640,3349.805,403,0.419
PROPANOIC ACID ETHYL ESTER,C5H10O2,105-37-3,546.5,3363.99,345,0.395
ACETIC ACID 3-METHYLBUTYL ESTER,C7H14O2,123-92-2,586.1,2760,443,0.4722
PROPANOIC ACID BUTYL ESTER,C7H14O2,0590-01-02,594.5,2614.185,449,0.4204
AMMONIA,H3N,7664-41-7,405.6,11277.47,72.5,0.25
VINYL CHLORIDE,C2H3Cl,1975-01-04,429.7,5603.272,186,0.122
"1,2-DIMETHOXYETHANE",C4H10O2,110-71-4,542.7,3960,271,0.3074
PERFLUOROCYCLOPENTANE,C5F10,376-77-2,423.6,2669.914,422,0.409
PERFLUOROPENTANE,C5F12,678-26-2,420.59,2045,470,0.437
TERT.BUTYL CHLORIDE,C4H9Cl,507-20-0,507,3951.675,295,0.19
"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE [R113]",C2Cl3F3,76-13-1,487.25,3411.613,325.1,0.255
HEXAMETHYLENE IMINE,C6H13N,111-49-9,624,4269.835,310,0.3205
FORMALDEHYDE,CH2O,50-00-0,408,6586.125,101,0.2484
N-METHYLFORMAMIDE,C2H5NO,123-39-7,725,7500.076,180,0.492
"N,N-DIMETHYLACETAMIDE",C4H9NO,127-19-5,643,4499.843,285,0.377
ACRYLONITRILE,C3H3N,107-13-1,536,4559.625,210,0.35
ACROLEIN,C3H4O,0107-02-08,506,5167.575,190,0.33
GLYCEROL,C3H8O3,56-81-5,850,7500,255,0.5152
METHACRYLIC ACID,C4H6O2,79-41-4,643,4700.467,270,0.4678
ACETIC ANHYDRIDE,C4H6O3,108-24-7,606,4000,290,0.4419
BUTYRIC ACID,C4H8O2,107-92-6,624,3951.675,292,0.5913
PROPANE,C3H8,74-98-6,369.95,4245.518,203,0.152
ACETIC ACID PROPYL ESTER,C5H10O2,109-60-4,549.4,3333.593,345,0.392
PALMITIC ACID,C16H32O2,1957-10-03,804,1641.465,947,0.9297
BUTYLAMINE,C4H11N,109-73-9,524,4154.325,288,0.396
CYCLOPENTANONE,C5H8O,120-92-3,626,4600,268,0.273
PIPERIDINE,C5H11N,110-89-4,594,4762.275,289,0.2561
CHLORODIFLUOROMETHANE [R22],CHClF2,75-45-6,369.35,4975.057,165,0.215
DICHLORODIFLUOROMETHANE [R12],CCl2F2,75-71-8,385.15,4123.928,217,0.176
PERFLUOROCYCLOBUTANE [R318],C4F8,115-25-3,388.37,2776.305,324.8,0.3505
TETRADECANOIC ACID METHYL ESTER,C15H30O2,0124-10-07,740,1428.683,891,0.7365
PHENYLHYDRAZINE,C6H8N2,100-63-0,750,5197.972,322,0.5565
CYCLOHEXANONE,C6H10O,108-94-1,665.5,3850.35,312,0.1837
CYCLOHEXANOL,C6H12O,108-93-0,650,4260,327,0.3695
HEXADECANOIC ACID METHYL ESTER,C17H34O2,112-39-0,765,1276.695,1002,0.8037
"2,4-DIMETHYLPYRIDINE",C7H9N,108-47-4,647,3951.675,372,0.3488
1-PENTENE,C5H10,109-67-1,464.7,3526.11,300,0.245
TRIBROMOMETHANE [R20B3],CHBr3,75-25-2,685,5643.803,288,0.1958
METHACRYLIC ACID METHYL ESTER,C5H8O2,80-62-6,536,4255.65,320,0.5383
2-METHYL-2-BUTENE,C5H10,513-35-9,470,3445.05,296,0.285
2-METHYL-1-BUTENE,C5H10,563-46-2,465,3445.05,294,0.232
OCTADECANOIC ACID,C18H36O2,1957-11-04,822,1429.696,1057,0.9802
3-METHYL-1-BUTANOL,C5H12O,123-51-3,579.5,3850.35,329,0.58
VINYL BROMIDE,C2H3Br,593-60-2,474,4600.155,197,0.091
HEXANOIC ACID,C6H12O2,142-62-1,663,3201.87,416,0.6701
OCTANOIC ACID,C8H16O2,0124-07-02,694,2695.245,509,0.7792
CHLOROACETYL CHLORIDE,C2H2Cl2O,1979-04-09,581,5109.82,245,0.3582
2-ETHOXYETHANOL,C4H10O2,110-80-5,569.65,4199.921,295,0.6745
2-METHYLPROPYLAMINE,C4H11N,78-81-9,516,4255.65,284,0.3
1-CHLOROOCTANE,C8H17Cl,111-85-3,646.3,2521.979,526,0.4392
"2,3-DIMETHYLPHENOL",C8H10O,526-75-0,722.8,4863.6,387,0.5407
"2,4-DIMETHYLPHENOL",C8H10O,105-67-9,707.6,4356.975,387,0.5136
"2,6-DIMETHYLPHENOL",C8H10O,576-26-1,701,4255.65,387,0.4395
"3,5-DIMETHYLPHENOL",C8H10O,108-68-9,715.6,3647.7,387,0.4976
METHACRYLONITRILE,C4H5N,126-98-7,554,3880.747,265,0.2903
"1,2-PROPANEDIOL",C3H8O2,57-55-6,676.4,5941,237,0.5928
THIOPHENE,C4H4S,0110-02-01,579.4,5694.465,219,0.2
N-METHYL-2-PYRROLIDONE,C5H9NO,872-50-4,721.7,4519.095,310.8,0.3577
3-PENTANONE,C5H10O,96-22-0,561,3738.893,336,0.347
3-HEXANONE,C6H12O,589-38-8,582.82,3323.46,374,0.377
4-HEPTANONE,C7H14O,123-19-3,604,3019.485,431,0.441
FORMIC ACID BUTYL ESTER,C5H10O2,592-84-7,563,3556.507,345,0.3844
2-METHYLFURAN,C5H6O,534-22-5,527.59,4723,246,0.2658
METHYL FORMATE,C2H4O2,107-31-3,487.2,5998.44,172,0.252
N-METHYLACETAMIDE,C3H7NO,79-16-3,718,4979.921,240,0.4651
2-METHYLTETRAHYDROFURAN,C5H10O,96-47-9,537.03,3758,267,0.264
CHLOROACETIC ACID,C2H3ClO2,1979-11-08,680,5649.882,220,0.575
1-HEXANOL,C6H14O,111-27-3,610,3419.719,381,0.56
HEXAFLUOROBENZENE,C6F6,392-56-3,516.7,3303.195,335.1,0.4
ACRYLIC ACID,C3H4O2,1979-10-07,615,5674.2,210,0.56
PERFLUOROHEPTANE,C7F16,335-57-9,477.75,1750,664,0.5559
"2,3-DIMETHYLPENTANE",C7H16,565-59-3,537.3,2910.054,393,0.299
2-METHYLPROPIONIC ACID,C4H8O2,79-31-2,605,3698.363,292,0.61
"2-METHYL-2,4-PENTANEDIOL",C6H14O2,107-41-5,621,4009.43,398,1.0381
BENZOIC ACID METHYL ESTER,C8H8O2,93-58-3,692,3647.7,396,0.4133
"1,3-BENZENEDICARBOXYLIC ACID DIMETHYL ESTER",C10H10O4,1459-93-4,766,2650,563.1,0.6386
BUTYRALDEHYDE,C4H8O,123-72-8,537.2,4316.445,257.6,0.352
"1,3-CYCLOPENTADIENE",C5H6,542-92-7,500,4699.96,232,0.1898
CIS-DECAHYDRONAPHTHALENE,C10H18,0493-01-06,702.3,3201.87,485,0.2849
2-METHYLPROPANE,C4H10,75-28-5,408.8,3639.594,259,0.176
2-PROPENOIC ACID BUTYL ESTER,C7H12O2,141-32-2,644,4540,423,0.3184
2-PROPENOIC ACID ETHYL ESTER,C5H8O2,140-88-5,552,3749.025,320,0.4
"2-BROMO-2-CHLORO-1,1,1-TRIFLUOROETHANE",C2HBrClF3,151-67-7,495,3951.675,296,0.2763
ETHYLAMINE,C2H7N,1975-04-07,456,5623.538,178,0.284
CHLOROETHANE,C2H5Cl,75-00-3,460.4,5268.9,199,0.1895
O-XYLENE,C8H10,95-47-6,630.2,3732,369,0.3118
2-BUTOXYETHYL ACETATE,C8H16O3,0112-07-02,640.2,2695.245,548.7,0.6015
PENTANOIC ACID,C5H10O2,109-52-4,639.9,3629.461,340,0.616
N-METHYLANILINE,C7H9N,100-61-8,702,4802.805,349,0.436
PROPIONITRILE,C3H5N,107-12-0,564.4,4184.722,230,0.318
"2-CHLORO-1,3-BUTADIENE",C4H5Cl,126-99-8,525,4259.703,270,0.1928
1-NONENE,C9H18,0124-11-08,592,2340.608,525,0.43
2-CHLOROPROPANE,C3H7Cl,75-29-6,485,4721.745,230,0.2576
3-CHLORO-1-PROPENE,C3H5Cl,0107-05-01,514.15,4762.265,234,0.13
FURAN,C4H4O,110-00-9,487.03,5323,218,0.2167
1-CHLOROPROPANE,C3H7Cl,540-54-5,503.1,4579.89,254,0.23
ALPHA.-PHENYLETHANOL,C8H10O,98-85-1,667.47,3991.597,385,0.6905
DIBUTYLAMINE,C8H19N,111-92-2,607.5,3110,517,0.5782
ETHYL PROPYL ETHER,C5H12O,628-32-0,500.6,3252.532,339,0.312
DI-N-PROPYL ETHER,C6H14O,111-43-3,530.6,3029.617,391,0.3585
ETHYL BUTYL ETHER,C6H14O,628-81-9,531,3039.75,390,0.3771
1-HEPTANOL,C7H16O,111-70-6,633,3039.75,435,0.56
1-OCTANOL,C8H18O,111-87-5,652.5,2860.405,490,0.5963
1-DECANOL,C10H22O,112-30-1,684.4,2314.263,600,0.6919
DODECANOIC ACID,C12H24O2,0143-07-07,761,2239.283,726,0.8253
TETRADECANOIC ACID,C14H28O2,544-63-8,784,1915.042,836,0.874
DODECANOIC ACID METHYL ESTER,C13H26O2,111-82-0,712,1631.333,781,0.6737
OCTADECANOIC ACID METHYL ESTER,C19H38O2,112-61-8,788,1165.238,1112,0.8645
"2,3-EPOXY-1-PROPANOL",C3H6O2,556-52-5,660.24,5978.55,212,0.4269
ISOPROPYLBENZENE,C9H12,98-82-8,631,3212.003,428,0.3261
BETA-NAPHTHOL,C10H8O,135-19-3,825,4498.83,457,0.507
1-DECENE,C10H20,0872-05-09,615,2208.885,584,0.491
3-METHYL-1-BUTENE,C5H10,563-45-1,450,3515.978,305,0.2274
"TRANS-1,3-PENTADIENE",C5H8,2004-70-8,496,3992.205,275,0.175
2-METHYL-2-PENTENE,C6H12,625-27-4,518,3282.93,351,0.229
"2,3-EPOXY-2-METHYLPENTANE",C6H12O,1192-22-9,580,3242.4,356,0.1453
2-METHYL-3-PENTANONE,C6H12O,565-69-5,577,3199.843,372,0.3254
2-METHYL-3-PENTANOL,C6H14O,565-67-3,576,3460,369,0.5451
"1,3-BUTADIENE",C4H6,106-99-0,425,4326.578,221,0.195
1-BUTEN-3-YNE,C4H4,689-97-4,455,4964.925,202,0.092
"2,3-DIMETHYLBUTANE",C6H14,79-29-8,500,3149.181,361,0.247
1-BUTENE,C4H8,106-98-9,419.6,4022.603,240,0.187
PROPYLBENZENE,C9H12,103-65-1,638.3,3201.87,440,0.344
"2,2-DIMETHYLBUTANE",C6H14,75-83-2,489,3099.532,358,0.231
ETHYL BUTYRATE,C6H12O2,105-54-4,568.8,3141.075,395,0.4379
ACETOPHENONE,C8H8O,98-86-2,709.5,4010.444,386.3,0.377
ACETIC ACID ISOBUTYL ESTER,C6H12O2,110-19-0,561,3010,414,0.4302
MALEIC ANHYDRIDE,C4H2O3,108-31-6,726,6484.8,235,0.3897
ISOCYANIC ACID METHYL ESTER,C2H3NO,624-83-9,491,5572.875,167,0.2744
ISOPROPYLAMINE,C3H9N,75-31-0,471.76,4551,220.6,0.2786
N-PROPYLAMINE,C3H9N,0107-10-08,497,4742.01,233,0.2879
2-ETHYL-1-HEXANOL,C8H18O,104-76-7,640.8,2796.57,494,0.5518
ACETIC ACID ISOPROPYL ESTER,C5H10O2,108-21-4,535,3374.122,343,0.36
CYCLOHEPTANE,C7H14,291-64-5,604.2,3819.953,353,0.2384
CYCLOOCTANE,C8H16,292-64-8,647.2,3559.547,410,0.2536
"1,2,4,5-TETRAMETHYLBENZENE",C10H14,95-93-2,676,2900,480,0.4168
TRIDECANE,C13H28,629-50-5,676,1678.955,823.1,0.623
4-ISOPROPYLTOLUENE,C10H14,99-87-6,653,2826.967,474,0.3685
"1,2,3-TRICHLOROPROPANE",C3H5Cl3,96-18-4,648.15,3951.665,348,0.3283
DICHLORODIMETHYLSILANE,C2H6Cl2Si,75-78-5,520.4,3485.58,358,0.272
P-DIISOPROPYLBENZENE,C12H18,100-18-5,674.74,2357.833,584.2,0.4818
4-ISOPROPYLPHENOL,C9H12O,99-89-8,710,3597.038,434,0.5841
NONANE,C9H20,111-84-2,594.7,2279.813,555.2,0.444
PROPANAL,C3H6O,123-38-6,509.1,5268.9,206.3,0.2449
METHYL PROPANOATE,C4H8O2,0554-12-01,530.8,4002.338,282,0.352
ETHYLCYCLOHEXANE,C8H16,1678-91-7,609,3029.617,420,0.2444
DIETHYLENE GLYCOL MONOBUTYL ETHER,C8H18O3,112-34-5,692.3,2789.477,536,0.6471
OCTANOIC ACID METHYL ESTER,C9H18O2,0111-11-05,644,2249.415,561,0.5378
DECANOIC ACID METHYL ESTER,C11H22O2,110-42-9,681,1889.711,671,0.603
1-NAPHTHOL,C10H8O,90-15-3,825,4853.468,420,0.4735
METHYL BUTYL AMINE,C5H13N,110-68-9,539,3323.46,346,0.347
ACETIC ACID PENTYL ESTER,C7H14O2,628-63-7,597.8,2664.847,468.7,0.4515
FORMIC ACID PROPYL ESTER,C4H8O2,110-74-7,538,4063.132,285,0.315
ETHYL METHYL SULFIDE,C3H8S,624-89-5,533,4255.65,259,0.208
DIETHYL SULFIDE,C4H10S,352-93-2,557.8,3900,317.6,0.2762
ETHYL BUTYL AMINE,C6H15N,13360-63-9,554,2826.967,401,0.363
1-BUTANOIC ACID BUTYL ESTER,C8H16O2,109-21-7,612.1,2310.21,506,0.4852
"1,4-DICYANOBUTANE",C6H8N2,111-69-3,781,2830.007,406,0.5576
BENZOIC ACID,C7H6O2,65-85-0,752,4559.625,341,0.6383
HEXAMETHYL DISILOXANE,C6H18OSi2,107-46-0,516.6,1909.976,620,0.4145
METHYL ISOPROPYL KETONE,C5H10O,563-80-4,552.8,3850.35,310,0.3244
PROPANOIC ACID PROPYL ESTER,C6H12O2,106-36-5,571,3141.075,395,0.4361
QUINOLINE,C9H7N,91-22-5,782,3799.688,402.4,0.2389
EPICHLOROHYDRIN,C3H5ClO,106-89-8,610,4900.077,233,0.2562
TRIETHYLENE GLYCOL,C6H14O4,112-27-6,797,3300.155,441,0.5842
CHLOROTRIFLUOROMETHANE [R 13],CClF3,75-72-9,302,3921.278,180,0.18
DIETHYLENE GLYCOL MONOMETHYL ETHER,C5H12O3,111-77-3,672,3670,371,0.5141
N-ETHYL-SEC.BUTYLAMINE,C6H15N,21035-44-9,543,2897.895,393,0.3507
TRANS-2-BUTENE,C4H8,624-64-6,428.6,4103.663,238,0.214
CARBONIC ACID DIMETHYL ESTER,C3H6O3,616-38-6,557,4800,252.2,0.3321
5-NONANONE,C9H18O,502-56-7,640,2320.342,560,0.514
DIETHYLENE GLYCOL ETHYL ETHER,C6H14O3,111-90-0,670,3167,426,0.4795
ISOBUTYLENE,C4H8,0115-11-07,417.9,4002.338,239,0.19
2-METHYLPROPANAL,C4H8O,78-84-2,513,4154.325,274,0.325
CIS-2-BUTENE,C4H8,590-18-1,435.6,4204.988,234,0.202
TERT-BUTYLAMINE,C4H11N,75-64-9,483.9,3840.218,292.6,0.274
DIETHYLENE GLYCOL,C4H10O3,111-46-6,753,4770.381,316,0.5799
3-METHYLHEXANE,C7H16,589-34-4,535.2,2809.742,404,0.324
2-PROPENOIC ACID METHYL ESTER,C4H6O2,96-33-3,536,4249.57,270,0.3475
PERFLUOROHEXANE,C6F14,355-42-0,451.7,1904.91,560,0.4943
"2,2-DIMETHYLPROPANE",C5H12,463-82-1,433.8,3195.791,307,0.197
TETRAMETHYLSILANE,C4H12Si,75-76-3,448.64,2820.888,361,0.242
4-METHYL-2-PENTANOL,C6H14O,0108-11-02,574.4,3649.727,380,0.5723
BIPHENYL,C12H10,92-52-4,773,3380,502,0.403
DIPHENYLMETHANE,C13H12,101-81-5,767,2978.955,562.7,0.4619
SEC-BUTYLBENZENE,C10H14,135-98-8,664,2948.558,474,0.2971
2-METHYL-1-PENTENE,C6H12,763-29-1,505,3293.063,351,0.274
4-METHYL-1-PENTENE,C6H12,691-37-2,493,3100.545,238,0.248
5-VINYLBICYCLO[2.2.1]HEPT-2-ENE,C9H12,3048-64-4,620,3300,408.7,0.2931
DICYCLOPENTADIENE,C10H12,77-73-6,665,3755.105,450,0.3484
EICOSANE,C20H42,112-95-8,767,1070,1156,0.8805
"1,3,5-TRIMETHYLBENZENE",C9H12,108-67-8,637.3,3130.942,433,0.3796
O-NITROTOLUENE,C7H7NO2,88-72-2,720,3404.52,400,0.439
M-NITROTOLUENE,C7H7NO2,1999-08-01,725,3049.883,400,0.4381
P-NITROTOLUENE,C7H7NO2,99-99-0,735,2999.22,400,0.4287
5-ETHYL-2-METHYLPYRIDINE,C8H11N,104-90-5,662,3343.725,427,0.4267
DECANOIC ACID,C10H20O2,334-48-5,726,2097.428,638,0.8774
OCTAMETHYLTRISILOXAN,C8H24O2Si3,107-51-7,562.9,1419.563,880,0.531
OCTAMETHYLCYCLOTETRASILOXANE,C8H24O4Si4,556-67-2,586.5,1324.318,970,0.5867
ISOQUINOLINE,C9H7N,119-65-3,803,4600.155,442,0.2564
QUINALDINE,C10H9N,91-63-4,787,4904.13,471,0.3967
DIPHENYL ETHER,C12H10O,101-84-8,766,3141.075,504,0.44
4-METHYLQUINOLINE,C10H9N,491-35-0,797,4650.818,498,0.4792
7-METHYLQUINOLINE,C10H9N,612-60-2,797,4802.805,490,0.421
1-UNDECANOL,C11H24O,112-42-5,702,2198.753,718,0.6724
HEXADECANE,C16H34,544-76-3,722.4,1401.325,1034,0.742
M-TERPHENYL,C18H14,1992-06-08,883,2480,724.3,0.638
"1,2,4-TRIMETHYLBENZENE",C9H12,95-63-6,649.1,3232.267,430,0.3771
"1,2,3-TRIMETHYLBENZENE",C9H12,526-73-8,664.5,3455.182,430,0.3669
DIETHYLENE GLYCOL MONOPROPYL ETHER,C7H16O3,6881-94-3,687,2999.22,518.7,0.5547
TRIMETHYLAMINE,C3H9N,75-50-3,433.2,4073.265,254,0.195
1-DODECANOL,C12H26O,112-53-8,717,1994,718,0.7202
SULFOLANE,C4H8O2S,126-33-0,855,5029.773,336.5,0.3463
MONOETHANOLAMINE,C2H7NO,141-43-5,667.12,7573.03,196,0.5684
NONYLBENZENE,C15H24,1081-77-2,741,1899.996,790,0.6095
CHLOROPERFLUOROETHANE [R115],C2ClF5,76-15-3,353.05,3125.8,252,0.2493
"1,2-DICHLOROTETRAFLUOROETHANE [R114]",C2Cl2F4,76-14-2,418.85,3269.758,293.1,0.246
DICHLOROFLUOROMETHANE [R21],CHCl2F,75-43-4,451.6,5167.575,197,0.202
HEPTADECANE,C17H36,629-78-7,735.9,1341.543,1103,0.7564
4-METHYL-3-PENTEN-2-ONE,C6H10O,141-79-7,597,3749.025,278,0.4004
"2-BUTYNE-1,4-DIOL",C4H6O2,110-65-6,691.67,5860.638,260,1.1282
DIISOBUTYL ETHER,C8H18O,628-55-7,562,2549.996,485,0.4179
"2,2,3,3-TETRAFLUORO-1-PROPANOL",C3H4F4O,76-37-9,557.2,4850,266.8,0.5383
"3,4-DIMETHYLPYRIDINE",C7H9N,583-58-4,683.8,4123.928,351,0.341
"2,4,6-TRIMETHYLPYRIDINE",C8H11N,108-75-8,645,3201.87,427,0.4099
METHANETHIOL,CH4S,74-93-1,470,7234.605,145,0.1488
DIMETHYL ETHER,C2H6O,0115-10-06,400,5370.225,164,0.2033
METHYL CHLORIDE,CH3Cl,74-87-3,416.3,6677.318,139,0.1485
1-UNDECENE,C11H22,821-95-4,637,1996.103,626,0.518
PHTHALIC ACID DIETHYL ESTER,C12H14O4,84-66-2,762.15,2330,642,0.7011
1-HEXYNE,C6H10,0693-02-07,539.29,3762.197,331,0.146
"2,2-DIMETHYLPROPIONALDEHYDE",C5H10O,630-19-3,523,3688.23,320,0.2999
"2-METHYL-2,3-EPOXYBUTANE",C5H10O,5076-19-7,534.8,3399.454,301,0.196
PYRROLIDINE,C4H9N,123-75-1,568.6,5613.405,249,0.2742
"2,3-DIMETHYL-2-BUTENE",C6H12,563-79-1,524,3363.99,351,0.239
ISOPROPYLCYCLOHEXANE,C9H18,696-29-7,640,2837.1,470,0.237
TRIFLUOROACETIC ACID,C2HF3O2,1976-05-01,491.3,3258.004,204,0.54
1-HEPTENE,C7H14,592-76-7,537.2,2837.1,405,0.3316
"1,5-HEXADIENE",C6H10,592-42-7,507,3445.05,328,0.2417
BUTANOIC ACID PROPYL ESTER,C7H14O2,105-66-8,592.5,2799.61,442,0.4484
1-PENTYNE,C5H8,627-19-0,493.4,4053,278,0.164
DOCOSANE,C22H46,629-97-0,787,980,1252,0.9423
ETHOXYBENZENE,C8H10O,103-73-1,647,3424.775,389,0.4153
OCTYL ACETATE,C10H20O2,112-14-1,661,1985.97,653.8,0.537
"1,4-BUTANEDIOL",C4H10O2,110-63-4,727,6222,297,0.714
2-HEXANONE,C6H12O,591-78-6,587,3323.46,374,0.3877
"1,1,1,2-TETRACHLOROETHANE [R130A]",C2H2Cl4,630-20-6,626,4468.432,333,0.269
PENTACHLOROETHANE,C2HCl5,1976-01-07,646,3536.243,376,0.3478
GAMMA-BUTYROLACTONE,C4H6O2,96-48-0,731,5131,244,0.3425
3-METHYLHEPTANE,C8H18,589-81-1,563.6,2550.35,464,0.3712
O-METHYLANILINE,C7H9N,95-53-4,710,4650.818,343,0.4017
"1,1,2,2-TETRABROMOETHANE",C2H2Br4,79-27-6,806,6258.845,402,0.361
METHYL OLEATE,C19H36O2,112-62-9,774.09,1278.3,1092,0.9388
"2,4,6-TRIMETHYL-1,3,5-TRIOXANE",C6H12O3,123-63-7,579,3499.766,365,0.4298
NONADECANE,C19H40,629-92-5,756,1160,1087,0.8486
DIMETHYL OXALATE,C4H6O4,553-90-2,628,3982.072,326,0.558
PERFLUOROMETHYLCYCLOHEXANE,C7F14,0355-02-02,486.7,2330.475,570.1,0.4857
3-METHYL-2-PENTANONE,C6H12O,565-61-7,579,3310.288,368,0.338
"3,3-DIMETHYL-2-BUTANONE",C6H12O,75-97-8,571.5,3470,371,0.2882
"2,4-DIMETHYL-3-PENTANONE",C7H14O,565-80-0,582,3384.255,415,0.4
2-METHYL-1-BUTANOL,C5H12O,137-32-6,571,3850.35,322,0.6137
"2,2-DIMETHYL-1-PROPANOL",C5H12O,75-84-3,549,3951.675,319,0.62
2-PENTANOL,C5H12O,6032-29-7,561.15,3870.605,329,0.6263
3-METHYL-2-BUTANOL,C5H12O,598-75-4,556.1,3870,327,0.5149
TERT-PENTANOL,C5H12O,75-85-4,545,3710,319,0.4646
3-METHYL-3-PENTANOL,C6H14O,77-74-7,575.6,3520,380,0.5061
3-HEXANOL,C6H14O,623-37-0,582.48,3360,382.7,0.5934
(+-)-2-HEXANOL,C6H14O,626-93-7,586.15,3310.004,384,0.5998
1-BROMO-2-CHLORO ETHANE,C2H4BrCl,107-04-0,605,5491.815,262,0.236
"1,3-DICHLOROPROPANE",C3H6Cl2,142-28-9,610.3,4247.544,300,0.2614
DIBROMOMETHANE [R30B2],CH2Br2,74-95-3,583,6499.999,211,0.3029
FORMAMIDE,CH3NO,1975-12-07,771,7799.999,125,0.4378
DIPHENYLAMINE,C12H11N,122-39-4,931.15,8140,520,0.3047
O-CHLOROTOLUENE,C7H7Cl,95-49-8,635,4014.496,369,0.4322
ETHYL BENZOATE,C9H10O2,93-89-0,697,3242.4,451,0.48
PROPYL BROMIDE,C3H7Br,106-94-5,539,4798,272,0.2517
1-PROPOXY-2-PROPANOL,C6H14O2,1569-01-03,605.1,3051,398,0.4966
PERFLUOROCYCLOHEXANE,C6F12,355-68-0,457.2,2431.8,489,0.4782
3-METHYL BUTYRIC ACID,C5H10O2,503-74-2,629,3394.388,336,0.7598
METHYL BUTANOATE,C5H10O2,623-42-7,554.4,3475.447,340,0.382
1-HEXADECANOL,C16H34O,36653-82-4,770,1460.093,937,0.8156
1-OCTADECANOL,C18H38O,112-92-5,790,1279.735,1047,0.8661
N-UNDECANE,C11H24,1120-21-4,638.4,1948.48,688.6,0.535
2-METHYLOCTANE,C9H20,3221-61-2,582.8,2310.21,541,0.4499
"2,3,4-TRIMETHYL PENTANE",C8H18,565-75-3,566.4,2729.696,460,0.317
PENTADECANE,C15H32,629-62-9,707,1479.345,966,0.6897
PROPYLENE CARBONATE,C4H6O3,108-32-7,762.7,4140,250,0.4107
OCTYLBENZENE,C14H22,2189-60-8,728,2036.633,720,0.5634
"1,3-PROPANEDIOL",C3H8O2,504-63-2,718.2,6550,241,0.6309
1-BUTYLNAPHTHALENE,C14H16,1634-09-09,791.75,2591.893,610,0.5141
1-ETHYLNAPHTHALENE,C12H12,1127-76-0,775.6,3100.545,553,0.3767
"1,6-HEXANEDIOL",C6H14O2,0629-11-08,700,3000,398,0.9606
1-OCTYNE,C8H14,629-05-0,598.46,3100.545,441,0.2619
2-ETHYL HEXANOIC ACID,C8H16O2,149-57-5,674.6,2776.305,548,0.8176
HEPTANOIC ACID,C7H14O2,111-14-8,679,2877.63,466,0.7297
ISOPROPYL BROMIDE,C3H7Br,75-26-3,525.6,5530.319,264,0.2645
P-CHLOROTOLUENE,C7H7Cl,106-43-4,640,4004.364,362,0.4228
1-DODECENE,C12H24,112-41-4,657,1854.247,681,0.5192
VALERALDEHYDE,C5H10O,110-62-3,566.1,3971.94,313.2,0.3304
HEXANAL,C6H12O,66-25-1,591,3455.182,378,0.3847
HEPTANAL,C7H14O,111-71-7,614,3232.267,434,0.4258
OCTANAL,C8H16O,124-13-0,638.1,2958.69,488,0.4318
NONANAL,C9H18O,124-19-6,656,2690.179,543,0.5132
INDENE,C9H8,95-13-6,695.15,3799.688,368.5,0.2571
2-METHYLHEXANE,C7H16,591-76-4,530.4,2739.828,421,0.33
"2,4-DIMETHYLHEXANE",C8H18,589-43-5,553.5,2560.483,472,0.343
TERT-BUTYLBENZENE,C10H14,1998-06-06,660,2968.822,489.8,0.265
"1,2-DIHYDROXYBENZENE",C6H6O2,120-80-9,770,6494.932,292,0.5145
M-PHENYLENEDIAMINE,C6H8N2,108-45-2,815,4799.765,322,0.558
TETRAHYDROPYRAN,C5H10O,142-68-7,572.2,4772.407,263,0.218
TRICHLOROACETIC ACID,C2HCl3O2,1976-03-09,685,5099.687,293,0.5911
"1,2-DICYANOETHANE",C4H4N2,110-61-2,770,3540.295,300,0.5949
"2,7-DIMETHYLOCTANE",C10H22,1072-16-8,602.9,2097.428,590,0.4459
ETHYLCYCLOPENTANE,C7H14,1640-89-7,569.5,3400.467,375,0.2708
ISOPROPYLCYCLOPENTANE,C8H16,3875-51-2,601,2999.22,426,0.24
DECALIN <ISOMER NOT SPECIFIED>,C10H18,91-17-8,645.15,2010,485,0.4155
"2,3-DIMETHYL-1-BUTENE",C6H12,563-78-0,501,3242.4,343,0.221
NONANOIC ACID,C9H18O2,112-05-0,712,2350.74,594,0.7603
O-DICHLOROBENZENE,C6H4Cl2,95-50-1,697.3,4103.663,360,0.272
M-METHYLANILINE,C7H9N,108-44-1,709,4154.325,343,0.4078
"1,3-DIHYDROXYBENZENE",C6H6O2,108-46-3,810,6750.272,292,0.6413
METHYL TERT-BUTYL ETHER,C5H12O,1634-04-04,497.1,3434.918,319,0.267
"1,4-PENTADIENE",C5H8,591-93-5,478,3789.555,276,0.1473
METHYL PROPYL ETHER,C4H10O,557-17-5,472,3800.701,274,0.3107
METHYL ISOPROPYL ETHER,C4H10O,598-53-8,464.5,3759.157,277,0.2633
ACETANILIDE,C8H9NO,103-84-4,825,4701.48,407,0.6168
1-TETRADECANOL,C14H30O,112-72-1,743,1669.836,826,0.781
2-METHYLPIPERIDINE,C6H13N,0109-05-07,598,3799.688,340,0.2669
DIPENTYL ETHER,C10H22O,693-65-2,627,1996.103,611,0.5315
"CIS-1,2-DIMETHYLCYCLOHEXANE",C8H16,2207-01-04,606,2938.425,422,0.2323
