NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
"1,2-DICHLORO-1,2,2-TRIFLUOROETHANE [R123A]",C2HCl2F3,354-23-4,461.7,3990,275.3,0.303
"PROPIONIC ACID, ANHYDRIDE",C6H10O3,123-62-6,625.54,2833.86,420,0.4876
PROPYLENE GLYCOL MONOMETHYL ETHER ACETATE,C6H12O3,108-65-6,597.6,3009.353,431.9,0.4849
"1,1,4,6-TETRAMETHYLINDAN",C13H18,941-60-6,733,3046,610,0.4195
"1,1,4,7-TETRAMETHYLINDAN",C13H18,1078-04-02,758,3287,610,0.3785
BENZOXAZOLE,C7H5NO,273-53-0,695,4500,345.5,0.3523
DIOCTYLAMINE,C16H35N,1120-48-5,734,1260,1087,0.8189
HEXADECAMETHYLHEPTASILOXANE,C16H48O6Si7,0541-01-05,671.8,676.851,2133,0.8827
OCTADECAMETHYLOCTASILOXANE,C18H54O7Si8,556-69-4,688.9,624.162,2466,0.9959
METHYLTRIS(TRIMETHYLSILOXY)SILANE,C10H30O3Si4,17928-28-8,596.95,1215.9,1125,0.6432
TETRAKIS(TRIMETHYLSILOXY)SILANE,C12H36O4Si5,3555-47-3,622.6,830.865,1400,0.6206
OCTADECAMETHYLCYCLONONASILOXANE,C18H54O9Si9,556-71-8,705.8,650.507,2250,0.9868
3-ETHYLHEXANE,C8H18,619-99-8,565.5,2610.132,455,0.3584
METHYL BUTYL SULFIDE,C5H12S,628-29-5,591.3,3880.747,371,0.3691
2-ETHYLHEXANALDEHYDE,C8H16O,0123-05-07,607,2580.748,473,0.5195
PIPERAZINE,C4H10N2,110-85-0,661,5800,267,0.3127
PERFLUOROOCTANE,C8F18,307-34-6,502.25,1660,717,0.6091
DIFLUOROBIS(TRIFLUOROMETHOXY)METHANE,C3F8O2,53772-78-4,372.35,2333,363,0.4176
"1,1,2,2-TETRAFLUOROETHYL-TRIFLUOROMETHYLETHER",C3HF7O,2356-61-8,387.78,2640,337,0.4223
DIFLUOROMETHOXYTRIFLUOROMETHANE,C2HF5O,3822-68-2,353.54,3326,192,0.3362
TRIFLUOROMETHOXYMETHANE,C2H3F3O,421-14-7,378.02,3588,228,0.238
2-NONANOL,C9H20O,628-99-9,650.1,2530,574.7,0.606
"1,1,1,5,5,5-HEXAFLUORO-2,4-PENTANEDIONE",C5H2F6O2,1522-22-1,485.1,2767.2,289.2,0.5132
"1,1,1,2,3,3,3-HEPTAFLUOROPROPANE [R227EA]",C3HF7,431-89-0,374.83,2911.6,274,0.3577
4-TERT-BUTYLCATECHOL,C10H14O2,98-29-3,775,3700,565.1,0.7257
"2,2,4,4,5,5-HEXAFLUORO-1,3-DIOXOLANE",C3F6O2,21297-65-4,368.07,2709,290,0.3075
HEXAFLUOROOXETANE,C3F6O,425-82-1,361.85,3030,272,0.3092
NITROGEN DIOXIDE,NO2,10102-44-0,431,10132.5,82,0.8555
"2,3,4,5,6-PENTAFLUOROTOLUENE",C7H3F5,771-56-2,566.52,3126,382.4,0.417
"3,6-DIMETHYL-1,4-DIOXANE-2,5-DIONE",C6H8O4,95-96-5,750,3400.467,390,0.613
N-(2-AMINOETHYL)ETHANOLAMINE,C4H12N2O,111-41-1,739.2,4650,335,0.4634
"1,3-DICHLORO-1,1,2,2,3-PENTAFLUOROPROPANE R225CB",C3HCl2F5,507-55-1,484.91,2980,366,0.3014
2-NORBORNENE,C7H10,498-66-8,590,4860,310.7,0.1892
PERFLUORODECANE,C10F22,307-45-9,542.35,1450,880,0.5586
PERFLUOROMETHYLPROPYLETHER,C4F10O,59426-77-6,391.7,1866,403,0.3662
PERFLUORO-3-METHYLPENTANE,C6F14,865-71-4,450,1692,555,0.4733
PERFLUOROTOLUENE,C7F8,434-64-0,534.47,2705,424.9,0.4685
DIMETHYL TEREPHTHALATE,C10H10O4,120-61-6,763.15,2749.96,530,0.6516
CYANOGEN,C2N2,460-19-5,400,5978.175,200,0.2791
3-CHLOROPHENYLISOCYANATE,C7H4ClNO,2909-38-8,712.22,4064.29,321,0.3808
TETRAFLUOROHYDRAZINE,F4N2,10036-47-2,309.35,3708,90,0.1477
6-CHLOROHEXYL ISOCYANATE,C7H12ClNO,13654-91-6,668.9,2901.18,521,0.7923
"2,2,3,4-TETRAMETHYLPENTANE",C9H20,1186-53-4,592.6,2600,492,0.3103
"2,3,3,4-TETRAMETHYLPENTANE",C9H20,16747-38-9,607.5,2719.563,487,0.31
"2,2,3,3-TETRAMETHYLPENTANE",C9H20,7154-79-2,607.5,2739.828,494,0.3005
"2,2,4,4-TETRAMETHYLPENTANE",C9H20,1070-87-7,574.6,2489.555,509,0.3099
"4,5,9,10-TETRAHYDROPYRENE",C16H14,781-17-9,900,3000,639.5,0.4551
"1,2,3,6,7,8-HEXAHYDROPYRENE",C16H16,1732-13-4,920,3610,666.6,0.4666
"1,2-EPOXYCYCLOOCTANE",C8H14O,286-62-4,693.32,3452.06,405,0.3254
"1-CHLORO-2,2-DIFLUOROETHYLENE",C2HClF2,0359-10-04,400.55,4461,197.4,0.2205
"CIS-1,2-EPOXYCYCLOPENTANE",C5H8O,285-67-6,582.16,4508.03,273,0.2507
"1,3,5-TRICHLORO-2,4,6-TRIFLUOROBENZENE",C6Cl3F3,319-88-0,684.8,3270,447.3,0.5276
DICHLORODIETHYLSILANE,C4H10Cl2Si,1719-53-5,595.75,3060,455.4,0.3169
