#           x         0.006         0.001
#           y       0.00045       0.00045
#           z         5e-05         5e-05
#        Time
1.2E-12	320.0	320.0
5.46769E-7	320.0	320.0
7.16686E-7	320.0	320.0
9.40817E-7	320.0	320.0
1.63804E-6	320.0	320.0
3.65024E-6	320.0	320.0
2.557E-5	320.0	320.0
5.64405E-5	320.0	320.005
8.33743E-5	320.0	320.055
1.08395E-4	320.0	320.257
1.32283E-4	320.0	320.785
1.55154E-4	320.001	321.831
1.77206E-4	320.002	323.571
1.98551E-4	320.004	326.136
2.19314E-4	320.009	329.608
2.39597E-4	320.016	334.025
2.59481E-4	320.027	339.374
2.79035E-4	320.044	345.609
2.98312E-4	320.067	352.646
3.17359E-4	320.097	360.391
3.36213E-4	320.135	368.72
3.54902E-4	320.183	377.521
3.73452E-4	320.241	386.667
3.91881E-4	320.31	396.052
4.10205E-4	320.391	405.577
4.28437E-4	320.484	415.168
4.46585E-4	320.591	424.759
4.64651E-4	320.71	434.302
4.82629E-4	320.844	443.76
5.00523E-4	320.991	453.085
5.18339E-4	321.152	462.21
5.36088E-4	321.327	471.028
5.53776E-4	321.516	479.413
5.71412E-4	321.719	487.227
5.88998E-4	321.935	494.359
6.06539E-4	322.165	500.751
6.24043E-4	322.409	506.386
6.41515E-4	322.665	511.279
6.5896E-4	322.935	515.466
6.76381E-4	323.217	518.995
6.9378E-4	323.512	521.926
7.1116E-4	323.818	524.326
7.28523E-4	324.136	526.266
7.45873E-4	324.466	527.814
7.63208E-4	324.807	529.036
7.80531E-4	325.158	529.99
7.97843E-4	325.519	530.728
8.15148E-4	325.891	531.295
8.3244E-4	326.272	531.728
8.49732E-4	326.662	532.056
8.67006E-4	327.061	532.303
8.84278E-4	327.468	532.489
9.0155E-4	327.884	532.628
9.18822E-4	328.307	532.731
9.36068E-4	328.737	532.808
9.533E-4	329.174	532.864
9.70532E-4	329.618	532.906
9.87765E-4	330.068	532.937
0.00100501	330.525	532.96
0.00102226	330.988	532.976
0.00103952	331.457	532.988
0.00105677	331.932	532.997
0.00107403	332.412	533.004
0.00109128	332.897	533.009
0.00110853	333.388	533.012
0.00112579	333.885	533.015
0.00114304	334.388	533.017
0.00116029	334.898	533.018
0.00117755	335.416	533.019
0.0011948	335.942	533.02
0.00121205	336.479	533.02
0.00122931	337.027	533.021
0.00124656	337.59	533.021
0.00126382	338.17	533.022
0.00128107	338.769	533.022
0.00129833	339.391	533.022
0.00131559	340.039	533.022
0.00133285	340.716	533.022
0.00135011	341.428	533.022
0.00136738	342.177	533.022
0.00138464	342.966	533.023
0.00140191	343.8	533.023
0.00141918	344.682	533.023
0.00143645	345.613	533.023
0.00145372	346.597	533.023
0.001471	347.633	533.023
0.00148827	348.723	533.023
0.00150556	349.866	533.023
0.00152284	351.062	533.023
0.00154012	352.309	533.023
0.0015574	353.605	533.023
0.00157469	354.947	533.023
0.00159198	356.331	533.023
0.00160927	357.754	533.023
0.00162656	359.212	533.023
0.00164386	360.703	533.023
0.00166116	362.222	533.023
0.00167845	363.766	533.023
0.00169575	365.332	533.023
0.00171305	366.916	533.024
0.00173036	368.514	533.024
0.00174767	370.123	533.024
0.00176497	371.736	533.024
0.00178228	373.35	533.024
0.00179959	374.959	533.024
0.00181689	376.557	533.024
0.0018342	378.137	533.024
0.00185151	379.693	533.024
0.00186881	381.22	533.024
0.00188612	382.713	533.024
0.00190343	384.164	533.024
0.00192073	385.568	533.024
0.00193804	386.916	533.024
0.00195535	388.202	533.024
0.00197266	389.417	533.024
0.00198996	390.553	533.024
0.00200728	391.605	533.024
0.00202463	392.564	533.024
0.00204197	393.421	533.024
0.00205932	394.172	533.024
0.00207667	394.809	533.024
0.00209402	395.33	533.024
0.00211138	395.733	533.024
0.00212873	396.022	533.024
0.00214609	396.195	533.024
0.00216345	396.264	533.024
0.00218082	396.243	533.024
0.00219818	396.145	533.024
0.00221555	395.995	533.024
0.00223292	395.816	533.024
0.00225029	395.634	533.024
0.00226767	395.471	533.024
0.00228504	395.348	533.024
0.00230242	395.283	533.024
0.0023198	395.29	533.024
0.00233719	395.38	533.024
0.00235457	395.562	533.024
0.00237196	395.842	533.024
0.00238935	396.225	533.024
0.00240674	396.714	533.024
0.00242413	397.311	533.024
0.00244153	398.018	533.024
0.00245893	398.835	533.024
0.00247633	399.761	533.024
0.00249373	400.797	533.024
0.00251113	401.942	533.024
0.00252854	403.193	533.024
0.00254595	404.548	533.024
0.00256336	406.007	533.024
0.00258078	407.566	533.024
0.00259819	409.223	533.024
0.00261561	410.974	533.024
0.00263303	412.818	533.024
0.00265045	414.752	533.024
0.00266787	416.771	533.024
0.0026853	418.874	533.024
0.00270273	421.056	533.024
0.00272015	423.315	533.024
0.00273759	425.649	533.024
0.00275502	428.054	533.024
0.00277246	430.529	533.024
0.00278989	433.069	533.024
0.00280733	435.674	533.024
0.00282477	438.341	533.024
0.0028422	441.071	533.024
0.00285964	443.862	533.024
0.00287707	446.717	533.024
0.00289451	449.64	533.024
0.00291195	452.642	533.024
0.00292938	455.738	533.024
0.00294682	458.951	533.024
0.00296426	462.3	533.024
0.00298169	465.797	533.024
0.00299913	469.442	533.024
0.0030166	473.221	533.024
0.00303407	477.093	533.024
0.00305155	481.015	533.024
0.00306902	484.951	533.024
0.0030865	488.871	533.024
0.00310398	492.746	533.024
0.00312147	496.547	533.024
0.00313895	500.243	533.024
0.00315644	503.803	533.024
0.00317393	507.196	533.024
0.00319142	510.393	533.024
0.00320892	513.369	533.024
0.00322641	516.104	533.024
0.00324391	518.586	533.024
